x_cm,y_cm,z_cm,roll_rad,pitch_rad,yaw_rad,joint1_rad,joint2_rad,joint3_rad,joint4_rad
1.2264475534396775,3.8294282982395824,13.3632400496346,-1.5777026143372495,-1.5558799204080767,0.0,1.563890039252565,-0.6887573729736328,0.09822273063019053,2.176247375525159
3.0248186810108137,2.1978483848088364,13.505083733829668,0.8778656550073302,-1.4737471233932995,3.1415926535897922,0.8778656550073278,-0.8314175860839844,0.1304520641182218,2.174712645359062
5.4777246028065445,2.254148594669653,16.149526832580317,0.4849747324865658,-1.3172173859108198,3.141592653589793,0.4849747324865657,-0.7025632000488282,-0.15493205939941407,2.174712645359062
5.704830622063148,0.09680668992843913,16.328663466995806,0.02148622232535419,-1.2788678662574995,-3.141592653589793,0.02148622232535418,-0.7409127197021484,-0.15493205939941407,2.174712645359062
4.8427716600313575,-2.229219955385072,17.26192152627378,-0.5491651214355472,-1.1776266331326615,3.141592653589793,-0.549165121435547,-0.7761942777832032,-0.22396119477539064,2.1777821056912554
1.052189825327882,-4.187707526158986,13.422774312033475,1.5355147705087377,-1.5344146807217123,4.5784128893849445e-15,-1.6060778830810547,-0.6458059109619141,0.07520177813873963,2.1777821056912554
1.3347835606774943,-6.275121796569907,17.173623565459224,-1.549320593994142,-1.2896072305203565,3.1415926535897927,-1.5493205939941408,-0.5829126987304688,-0.3052621764404297,2.1777821056912554
6.397542212162486,-4.783899480258265,18.160603876222755,-0.7439806812744145,-1.223645307336682,3.141592653589793,-0.7439806812744141,-0.5307573520019532,-0.42184471618652347,2.176247375525159
8.374869326161688,-2.212580129081039,19.87793199482556,-0.2991262532958984,-1.0794481159203417,3.141592653589793,-0.2991262532958985,-0.5108156017822266,-0.5798447371582032,2.1701084548607716
8.891429591705416,-0.09439278020141718,20.578619981317388,-0.012271846289062506,-1.0180843881952466,-3.141592653589793,-0.0122718462890625,-0.5031456978515625,-0.6396699878173828,2.160900073864192
7.429047353339119,2.4260897612532393,20.14536895917847,0.37140470019540783,-1.0226863305536449,-3.141592653589793,0.37140470019540794,-0.5859806603027344,-0.5522330830078125,2.160900073864192
